Frame 	 Stimulus
000031 	 +2dotD1_dir225
000151 	 +1dotD1_dir45
000271 	 +1dotD1_-loom_dir135
000391 	 -1dotD1_dir90
000511 	 +2dotD1_+loom_dir225
000631 	 +2dotD1_-loom_dir180
000751 	 -2dotD1_-loom_dir225
000871 	 -2dotD1_dir270
000991 	 +1dotD1_+loom_dir135
001111 	 -2dotD1_+loom_dir180
001231 	 gratW1_dir135
001351 	 -1dotD1_+loom_dir0
001471 	 -1dotD1_-loom_dir45
001591 	 gratW12.5_dir315
001711 	 +1dotD1_+loom_dir90
001831 	 -2dotD1_dir45
001951 	 +2dotD1_-loom_dir90
002071 	 -2dotD1_+loom_dir45
002191 	 -1dotD1_+loom_dir315
002311 	 +2dotD1_dir315
002431 	 -1dotD1_-loom_dir135
002551 	 +2dotD1_+loom_dir90
002671 	 +1dotD1_dir315
002791 	 -2dotD1_-loom_dir0
002911 	 gratW1_dir45
003031 	 -1dotD1_dir270
003151 	 gratW12.5_dir180
003271 	 +1dotD1_-loom_dir270
003391 	 -1dotD1_dir0
003511 	 +1dotD1_-loom_dir0
003631 	 +2dotD1_+loom_dir315
003751 	 -2dotD1_dir180
003871 	 +2dotD1_dir180
003991 	 +2dotD1_-loom_dir0
004111 	 +1dotD1_+loom_dir0
004231 	 gratW1_dir315
004351 	 -1dotD1_+loom_dir90
004471 	 gratW12.5_dir270
004591 	 -2dotD1_+loom_dir225
004711 	 -2dotD1_-loom_dir180
004831 	 -1dotD1_-loom_dir270
004951 	 +1dotD1_dir270
005071 	 -2dotD1_-loom_dir315
005191 	 gratW12.5_dir225
005311 	 +2dotD1_-loom_dir45
005431 	 -2dotD1_+loom_dir0
005551 	 +1dotD1_+loom_dir315
005671 	 +1dotD1_-loom_dir45
005791 	 -1dotD1_-loom_dir90
005911 	 gratW1_dir225
006031 	 -1dotD1_dir45
006151 	 +1dotD1_dir180
006271 	 -2dotD1_dir90
006391 	 +2dotD1_dir45
006511 	 -1dotD1_+loom_dir45
006631 	 +2dotD1_+loom_dir45
006751 	 -2dotD1_-loom_dir270
006871 	 -2dotD1_dir225
006991 	 +1dotD1_+loom_dir270
007111 	 -2dotD1_+loom_dir90
007231 	 +1dotD1_dir225
007351 	 +1dotD1_-loom_dir180
007471 	 -1dotD1_-loom_dir225
007591 	 +2dotD1_-loom_dir315
007711 	 -1dotD1_dir225
007831 	 +2dotD1_dir0
007951 	 gratW1_dir0
008071 	 -1dotD1_+loom_dir270
008191 	 gratW12.5_dir135
008311 	 +2dotD1_+loom_dir270
008431 	 +2dotD1_-loom_dir225
008551 	 gratW1_dir90
008671 	 +1dotD1_+loom_dir45
008791 	 -1dotD1_dir180
008911 	 +2dotD1_+loom_dir0
009031 	 -1dotD1_-loom_dir180
009151 	 +1dotD1_dir135
009271 	 +1dotD1_-loom_dir315
009391 	 -2dotD1_+loom_dir270
009511 	 gratW12.5_dir45
009631 	 +2dotD1_dir135
009751 	 -1dotD1_+loom_dir180
009871 	 -2dotD1_dir315
009991 	 -2dotD1_-loom_dir45
010111 	 -2dotD1_-loom_dir90
010231 	 gratW1_dir180
010351 	 +2dotD1_-loom_dir270
010471 	 -2dotD1_+loom_dir315
010591 	 +2dotD1_dir90
010711 	 -1dotD1_dir315
010831 	 -1dotD1_+loom_dir225
010951 	 +2dotD1_+loom_dir135
011071 	 +1dotD1_+loom_dir225
011191 	 -1dotD1_-loom_dir0
011311 	 gratW12.5_dir0
011431 	 -2dotD1_dir0
011551 	 +1dotD1_-loom_dir90
011671 	 +1dotD1_dir0
011791 	 -1dotD1_+loom_dir135
011911 	 gratW1_dir270
012031 	 -2dotD1_-loom_dir135
012151 	 +1dotD1_-loom_dir225
012271 	 +1dotD1_dir90
012391 	 -2dotD1_dir135
012511 	 -2dotD1_+loom_dir135
012631 	 +2dotD1_+loom_dir180
012751 	 +2dotD1_-loom_dir135
012871 	 +2dotD1_dir270
012991 	 -1dotD1_dir135
013111 	 -1dotD1_-loom_dir315
013231 	 +1dotD1_+loom_dir180
013351 	 gratW12.5_dir90
